,Date,Close,High,Low,Open,Volume,3D_MA,5D_MA,3D_EMA,5D_EMA,Ticker
3,2024-03-05,174.1199951171875,176.92999267578125,173.3000030517578,176.92999267578125,37228300,,,174.1199951171875,174.1199951171875,AMZN
4,2024-03-06,173.50999450683594,176.4600067138672,173.25999450683594,175.5399932861328,32090900,,,173.81499481201172,173.91666158040366,AMZN
5,2024-03-07,176.82000732421875,177.99000549316406,173.72000122070312,174.8300018310547,34063300,174.81666564941406,,175.31750106811523,174.8844434950087,AMZN
6,2024-03-08,175.35000610351562,178.7899932861328,174.3300018310547,176.44000244140625,37853500,175.22666931152344,,175.33375358581543,175.0396310311777,AMZN
7,2024-03-11,171.9600067138672,174.47000122070312,171.47000122070312,174.30999755859375,28484800,174.7100067138672,174.352001953125,173.6468801498413,174.0130895920742,AMZN
8,2024-03-12,175.38999938964844,176.75999450683594,171.97999572753906,173.5,36610600,174.23333740234375,174.6060028076172,174.51843976974487,174.47205952459896,AMZN
9,2024-03-13,176.55999755859375,177.6199951171875,175.5500030517578,175.89999389648438,30772600,174.63666788736978,175.21600341796875,175.5392186641693,175.1680388692639,AMZN
10,2024-03-14,178.75,179.52999877929688,176.47000122070312,177.69000244140625,43705800,176.8999989827474,175.602001953125,177.14460933208466,176.36202591284263,AMZN
11,2024-03-15,174.4199981689453,177.92999267578125,173.89999389648438,176.63999938964844,72115500,176.57666524251303,175.41600036621094,175.78230375051498,175.71468333154354,AMZN
12,2024-03-18,174.47999572753906,176.69000244140625,174.27999877929688,175.8000030517578,31250700,175.88333129882812,175.9199981689453,175.13114973902702,175.3031207968754,AMZN
13,2024-03-19,175.89999389648438,176.08999633789062,173.52000427246094,174.22000122070312,26880900,174.9333292643229,176.0219970703125,175.5155718177557,175.50207849674507,AMZN
14,2024-03-20,178.14999389648438,178.52999877929688,174.63999938964844,176.13999938964844,29947200,176.1766611735026,176.33999633789062,176.83278285712004,176.38471696332485,AMZN
15,2024-03-21,178.14999389648438,181.4199981689453,178.14999389648438,179.99000549316406,32824300,177.39999389648438,176.2199951171875,177.4913883768022,176.97314260771137,AMZN
16,2024-03-22,178.8699951171875,179.25999450683594,176.75,177.75,27964100,178.3899943033854,177.10999450683593,178.18069174699485,177.60542677753676,AMZN
17,2024-03-25,179.7100067138672,180.99000549316406,177.24000549316406,178.00999450683594,29815500,178.90999857584634,178.15599670410157,178.94534923043102,178.30695342298026,AMZN
18,2024-03-26,178.3000030517578,180.4499969482422,177.9499969482422,180.14999389648438,29659000,178.96000162760416,178.63599853515626,178.62267614109442,178.3046366325728,AMZN
19,2024-03-27,179.8300018310547,180.0,177.30999755859375,179.8800048828125,33272600,179.2800038655599,178.9720001220703,179.22633898607455,178.81309169873344,AMZN
