,Meta Data,Time Series (30min)
1. Information,"Intraday (30min) open, high, low, close prices and volume",
2. Symbol,ANET,
3. Last Refreshed,2025-02-28 19:30:00,
4. Interval,30min,
5. Output Size,Compact,
6. Time Zone,US/Eastern,
2025-02-27 14:30:00,,"{'1. open': '93.2800', '2. high': '93.2900', '3. low': '92.4500', '4. close': '93.0250', '5. volume': '627086'}"
2025-02-27 14:00:00,,"{'1. open': '93.8300', '2. high': '94.2000', '3. low': '93.2300', '4. close': '93.2600', '5. volume': '739707'}"
2025-02-27 13:30:00,,"{'1. open': '93.9200', '2. high': '94.0694', '3. low': '93.5200', '4. close': '93.8275', '5. volume': '385721'}"
2025-02-27 13:00:00,,"{'1. open': '93.3000', '2. high': '94.0000', '3. low': '93.2300', '4. close': '93.9100', '5. volume': '445271'}"
2025-02-27 12:30:00,,"{'1. open': '93.4550', '2. high': '93.6500', '3. low': '92.9400', '4. close': '93.3100', '5. volume': '427086'}"
2025-02-27 12:00:00,,"{'1. open': '93.0100', '2. high': '93.5200', '3. low': '92.6800', '4. close': '93.4494', '5. volume': '609041'}"
2025-02-27 11:30:00,,"{'1. open': '93.6500', '2. high': '93.7100', '3. low': '92.9150', '4. close': '92.9900', '5. volume': '713569'}"
2025-02-27 11:00:00,,"{'1. open': '92.9800', '2. high': '94.5555', '3. low': '92.9500', '4. close': '93.6500', '5. volume': '459608'}"
2025-02-27 10:30:00,,"{'1. open': '94.3900', '2. high': '94.4550', '3. low': '92.9600', '4. close': '92.9900', '5. volume': '680508'}"
2025-02-27 10:00:00,,"{'1. open': '92.8400', '2. high': '94.6793', '3. low': '91.7450', '4. close': '94.3750', '5. volume': '1041122'}"
2025-02-27 09:30:00,,"{'1. open': '97.9300', '2. high': '98.0900', '3. low': '92.8200', '4. close': '92.8238', '5. volume': '1501396'}"
2025-02-27 09:00:00,,"{'1. open': '99.2000', '2. high': '100.0000', '3. low': '97.2300', '4. close': '97.3000', '5. volume': '24796'}"
2025-02-27 08:30:00,,"{'1. open': '99.6600', '2. high': '100.0000', '3. low': '98.7000', '4. close': '99.2600', '5. volume': '43711'}"
2025-02-27 08:00:00,,"{'1. open': '99.7400', '2. high': '100.4400', '3. low': '96.3800', '4. close': '99.9000', '5. volume': '44337'}"
2025-02-27 07:30:00,,"{'1. open': '100.1300', '2. high': '100.4200', '3. low': '99.6800', '4. close': '99.7300', '5. volume': '9994'}"
2025-02-27 07:00:00,,"{'1. open': '100.1100', '2. high': '100.2400', '3. low': '99.9000', '4. close': '100.1200', '5. volume': '33826'}"
2025-02-27 06:30:00,,"{'1. open': '99.9300', '2. high': '100.2500', '3. low': '99.9000', '4. close': '100.1100', '5. volume': '7935'}"
2025-02-27 06:00:00,,"{'1. open': '99.6300', '2. high': '100.4400', '3. low': '99.6200', '4. close': '99.9900', '5. volume': '4877'}"
2025-02-27 05:30:00,,"{'1. open': '99.7000', '2. high': '99.9000', '3. low': '99.5200', '4. close': '99.6300', '5. volume': '6148'}"
